monthdth,2014,2015,2016,2017,2018,2019,2020
1,6548.0,7104.0,7272.0,7340.0,7790.0,7538.0,7906.0
2,6088.0,6292.0,6802.0,6680.0,7102.0,7020.0,7198.0
3,6710.0,7680.0,7710.0,7620.0,7888.0,8142.0,7726.0
4,7108.0,7264.0,7482.0,7836.0,7712.0,7920.0,6810.0
5,7028.0,7716.0,7582.0,8384.0,8244.0,7968.0,7340.0
6,6972.0,7416.0,7326.0,8026.0,8572.0,7968.0,7810.0
7,6956.0,7754.0,7982.0,8214.0,8554.0,8202.0,8218.0
8,7860.0,7590.0,7964.0,8440.0,8462.0,8196.0,7934.0
9,7902.0,6902.0,7326.0,7922.0,8128.0,8100.0,7714.0
10,7438.0,7100.0,7540.0,8002.0,8104.0,7990.0,7454.0
11,6870.0,6442.0,6820.0,7340.0,7200.0,7074.0,7276.0
12,6644.0,6646.0,6674.0,7142.0,7282.0,7264.0,6972.0
